Date	Open	High	Low	Close	%/Day
28.01.1998	1060.25	1071.25	1059.25	1068.25	0.00%
29.01.1998	1068.25	1085.25	1066.25	1073.25	0.66%
30.01.1998	1074.25	1080.25	1070.25	1073.25	0.38%
02.02.1998	1074.25	1095.25	1074.25	1090.25	0.37%
03.02.1998	1089.25	1098.25	1087.25	1097.25	1.21%
04.02.1998	1097.25	1101.25	1089.25	1096.25	0.18%
05.02.1998	1096.25	1106.25	1090.25	1096.25	0.09%
06.02.1998	1095.25	1105.25	1094.25	1105.25	0.37%
09.02.1998	1105.25	1108.25	1096.25	1101.25	0.18%
10.02.1998	1101.25	1114.25	1099.25	1111.25	0.27%
11.02.1998	1110.25	1113.25	1105.25	1110.25	0.55%
12.02.1998	1110.25	1118.25	1098.25	1113.25	-0.63%
13.02.1998	1113.25	1115.25	1107.25	1108.25	0.82%
17.02.1998	1109.25	1120.25	1104.25	1114.25	-0.27%
18.02.1998	1114.25	1123.25	1110.25	1122.25	0.54%
19.02.1998	1122.25	1125.25	1111.25	1117.25	0.09%
20.02.1998	1116.25	1124.25	1110.25	1123.25	-0.09%
23.02.1998	1123.25	1132.25	1119.25	1127.25	0.81%
24.02.1998	1128.25	1128.25	1117.25	1120.25	-0.18%
25.02.1998	1132.25	1136.25	1119.25	1132.25	0.18%
26.02.1998	1132.25	1139.25	1128.25	1139.25	0.80%
27.02.1998	1137.25	1142.25	1132.25	1137.25	0.35%
02.03.1998	1135.25	1143.25	1132.25	1136.25	0.00%
03.03.1998	1136.25	1143.25	1131.25	1142.25	-0.09%
04.03.1998	1141.25	1141.25	1129.25	1134.25	-0.18%
05.03.1998	1132.25	1132.25	1118.25	1125.25	-0.97%
06.03.1998	1125.25	1145.25	1121.25	1144.25	0.27%
09.03.1998	1140.25	1148.25	1137.25	1140.25	1.43%
10.03.1998	1140.25	1153.25	1139.25	1151.25	0.18%
11.03.1998	1153.25	1157.25	1151.25	1154.25	1.05%
12.03.1998	1154.75	1160.75	1149.75	1159.75	-0.13%
13.03.1998	1158.75	1163.75	1152.75	1155.75	0.26%
16.03.1998	1154.75	1167.75	1151.75	1166.75	-0.09%
17.03.1998	1165.75	1168.75	1160.75	1168.75	0.78%
18.03.1998	1168.75	1172.75	1163.75	1172.75	0.26%
19.03.1998	1171.75	1176.75	1169.75	1176.75	0.52%
20.03.1998	1178.75	1188.75	1175.75	1186.75	0.51%
23.03.1998	1185.75	1188.75	1178.75	1183.75	0.26%
24.03.1998	1183.75	1194.75	1182.75	1192.75	0.34%
25.03.1998	1191.75	1199.75	1176.75	1188.75	-0.51%
26.03.1998	1188.75	1192.75	1181.75	1185.75	0.42%
27.03.1998	1185.75	1194.75	1173.75	1182.75	-0.68%
30.03.1998	1180.75	1185.75	1174.75	1179.75	0.09%
31.03.1998	1180.75	1197.75	1179.75	1185.75	0.43%
01.04.1998	1184.75	1196.75	1178.75	1193.75	-0.08%
02.04.1998	1193.75	1207.75	1190.75	1205.75	1.02%
03.04.1998	1205.75	1212.75	1202.75	1209.75	1.01%
06.04.1998	1209.75	1217.75	1201.75	1201.75	-0.08%
07.04.1998	1201.75	1205.75	1184.75	1193.75	-1.41%
08.04.1998	1193.75	1198.75	1179.75	1186.75	-0.42%
09.04.1998	1187.75	1196.75	1186.75	1194.75	0.59%
13.04.1998	1193.75	1198.75	1181.75	1191.75	-0.42%
14.04.1998	1191.75	1200.75	1190.75	1199.75	0.76%
15.04.1998	1198.75	1203.75	1194.75	1203.75	0.34%
16.04.1998	1202.75	1203.75	1185.75	1189.75	-0.75%
17.04.1998	1191.75	1206.75	1180.75	1205.75	-0.42%
20.04.1998	1205.75	1207.75	1199.75	1203.75	1.61%
21.04.1998	1203.75	1212.75	1200.75	1210.75	0.08%
22.04.1998	1209.75	1214.75	1207.75	1211.75	0.58%
23.04.1998	1210.75	1210.75	1197.75	1200.75	-0.83%
24.04.1998	1200.75	1205.75	1183.75	1187.75	-1.17%
27.04.1998	1186.75	1188.75	1155.75	1167.75	-2.37%
28.04.1998	1168.75	1178.75	1161.75	1165.75	0.52%
29.04.1998	1165.75	1178.75	1162.75	1171.75	0.09%
30.04.1998	1171.75	1198.75	1169.75	1194.75	0.60%
01.05.1998	1193.75	1204.75	1191.75	1203.75	1.88%
04.05.1998	1204.75	1212.75	1200.75	1202.75	0.76%
05.05.1998	1202.75	1203.75	1189.75	1194.75	-0.92%
06.05.1998	1194.75	1199.75	1180.75	1181.75	-0.76%
07.05.1998	1173.75	1185.75	1171.75	1172.75	-0.76%
08.05.1998	1173.75	1191.75	1170.75	1190.75	-0.09%
11.05.1998	1190.75	1199.75	1182.75	1187.75	1.02%
12.05.1998	1186.75	1198.75	1181.75	1197.75	-0.08%
13.05.1998	1196.75	1202.75	1192.75	1198.75	0.93%
14.05.1998	1198.75	1203.75	1190.75	1193.75	-0.17%
