Date	Open	High	Low	Close	%/Day	%/Total	Buy-And Hold	Hist. Daten links von hier einkopieren	Open	invest	S&P500 Strategie³ 
28.01.1998	1060.25	1071.25	1059.25	1068.25	0.00%	0.00%	10000.00	<<<	1060.25		10000.00
29.01.1998	1068.25	1085.25	1066.25	1073.25	0.66%	1.31%	10066.08	<<<	1068.25	X	10066.08
30.01.1998	1074.25	1080.25	1070.25	1073.25	0.38%	0.84%	10103.85	<<<	1074.25	X	10103.85
02.02.1998	1074.25	1095.25	1074.25	1090.25	0.37%	2.24%	10141.61	<<<	1074.25	X	10141.61
03.02.1998	1089.25	1098.25	1087.25	1097.25	1.21%	2.52%	10264.34	<<<	1089.25	X	10264.34
04.02.1998	1097.25	1101.25	1089.25	1096.25	0.18%	2.80%	10283.22	<<<	1097.25	X	10283.22
05.02.1998	1096.25	1106.25	1090.25	1096.25	0.09%	3.27%	10292.66	<<<	1096.25	X	10292.66
06.02.1998	1095.25	1105.25	1094.25	1105.25	0.37%	3.17%	10330.42	<<<	1095.25	X	10330.42
09.02.1998	1105.25	1108.25	1096.25	1101.25	0.18%	3.45%	10349.30	<<<	1105.25	X	10349.30
10.02.1998	1101.25	1114.25	1099.25	1111.25	0.27%	4.01%	10377.63	<<<	1101.25	X	10377.63
11.02.1998	1110.25	1113.25	1105.25	1110.25	0.55%	3.92%	10434.27	<<<	1110.25	X	10434.27
12.02.1998	1110.25	1118.25	1098.25	1113.25	-0.63%	4.39%	10368.19	<<<	1110.25	X	10368.19
13.02.1998	1113.25	1115.25	1107.25	1108.25	0.82%	4.11%	10453.15	<<<	1113.25	X	10453.15
17.02.1998	1109.25	1120.25	1104.25	1114.25	-0.27%	4.57%	10424.83	<<<	1109.25	X	10424.83
18.02.1998	1114.25	1123.25	1110.25	1122.25	0.54%	4.85%	10481.47	<<<	1114.25	X	10481.47
19.02.1998	1122.25	1125.25	1111.25	1117.25	0.09%	5.04%	10490.91	<<<	1122.25	X	10490.91
20.02.1998	1116.25	1124.25	1110.25	1123.25	-0.09%	4.95%	10481.47	<<<	1116.25	X	10481.47
23.02.1998	1123.25	1132.25	1119.25	1127.25	0.81%	5.69%	10566.44	<<<	1123.25	X	10566.44
24.02.1998	1128.25	1128.25	1117.25	1120.25	-0.18%	5.32%	10547.56	<<<	1128.25	X	10547.56
25.02.1998	1132.25	1136.25	1119.25	1132.25	0.18%	6.07%	10566.44	<<<	1132.25	X	10566.44
26.02.1998	1132.25	1139.25	1128.25	1139.25	0.80%	6.35%	10651.40	<<<	1132.25	X	10651.40
27.02.1998	1137.25	1142.25	1132.25	1137.25	0.35%	6.63%	10689.17	<<<	1137.25	X	10689.17
02.03.1998	1135.25	1143.25	1132.25	1136.25	0.00%	6.72%	10689.17	<<<	1135.25	X	10689.17
03.03.1998	1136.25	1143.25	1131.25	1142.25	-0.09%	6.72%	10679.73	<<<	1136.25	X	10679.73
04.03.1998	1141.25	1141.25	1129.25	1134.25	-0.18%	6.53%	10660.84	<<<	1141.25	X	10660.84
05.03.1998	1132.25	1132.25	1118.25	1125.25	-0.97%	5.69%	10557.00	<<<	1132.25	X	10557.00
06.03.1998	1125.25	1145.25	1121.25	1144.25	0.27%	6.91%	10585.32	<<<	1125.25	X	10585.32
09.03.1998	1140.25	1148.25	1137.25	1140.25	1.43%	7.19%	10736.37	<<<	1140.25	X	10736.37
10.03.1998	1140.25	1153.25	1139.25	1151.25	0.18%	7.65%	10755.25	<<<	1140.25	X	10755.25
11.03.1998	1153.25	1157.25	1151.25	1154.25	1.05%	8.03%	10868.54	<<<	1153.25	X	10868.54
12.03.1998	1154.75	1160.75	1149.75	1159.75	-0.13%	8.35%	10854.38	<<<	1154.75	X	10854.38
13.03.1998	1158.75	1163.75	1152.75	1155.75	0.26%	8.63%	10882.70	<<<	1158.75	X	10882.70
16.03.1998	1154.75	1167.75	1151.75	1166.75	-0.09%	9.01%	10873.26	<<<	1154.75	X	10873.26
17.03.1998	1165.75	1168.75	1160.75	1168.75	0.78%	9.10%	10958.23	<<<	1165.75	X	10958.23
18.03.1998	1168.75	1172.75	1163.75	1172.75	0.26%	9.47%	10986.55	<<<	1168.75	X	10986.55
19.03.1998	1171.75	1176.75	1169.75	1176.75	0.52%	9.85%	11043.19	<<<	1171.75	X	11043.19
20.03.1998	1178.75	1188.75	1175.75	1186.75	0.51%	10.97%	11099.83	<<<	1178.75	X	11099.83
23.03.1998	1185.75	1188.75	1178.75	1183.75	0.26%	10.97%	11128.16	<<<	1185.75	X	11128.16
24.03.1998	1183.75	1194.75	1182.75	1192.75	0.34%	11.53%	11165.92	<<<	1183.75	X	11165.92
25.03.1998	1191.75	1199.75	1176.75	1188.75	-0.51%	12.00%	11109.28	<<<	1191.75	X	11109.28
26.03.1998	1188.75	1192.75	1181.75	1185.75	0.42%	11.34%	11156.48	<<<	1188.75	X	11156.48
27.03.1998	1185.75	1194.75	1173.75	1182.75	-0.68%	11.53%	11080.95	<<<	1185.75	X	11080.95
30.03.1998	1180.75	1185.75	1174.75	1179.75	0.09%	10.69%	11090.39	<<<	1180.75	X	11090.39
31.03.1998	1180.75	1197.75	1179.75	1185.75	0.43%	11.81%	11137.60	<<<	1180.75	X	11137.60
01.04.1998	1184.75	1196.75	1178.75	1193.75	-0.08%	11.72%	11128.16	<<<	1184.75	X	11128.16
02.04.1998	1193.75	1207.75	1190.75	1205.75	1.02%	12.74%	11241.44	<<<	1193.75	X	11241.44
03.04.1998	1205.75	1212.75	1202.75	1209.75	1.01%	13.21%	11354.73	<<<	1205.75	X	11354.73
06.04.1998	1209.75	1217.75	1201.75	1201.75	-0.08%	13.68%	11345.29	<<<	1209.75	X	11345.29
07.04.1998	1201.75	1205.75	1184.75	1193.75	-1.41%	12.56%	11184.80	<<<	1201.75	X	11184.80
08.04.1998	1193.75	1198.75	1179.75	1186.75	-0.42%	11.90%	11137.60	<<<	1193.75	X	11137.60
09.04.1998	1187.75	1196.75	1186.75	1194.75	0.59%	11.72%	11203.68	<<<	1187.75	X	11203.68
13.04.1998	1193.75	1198.75	1181.75	1191.75	-0.42%	11.90%	11156.48	<<<	1193.75	X	11156.48
14.04.1998	1191.75	1200.75	1190.75	1199.75	0.76%	12.09%	11241.44	<<<	1191.75	X	11241.44
15.04.1998	1198.75	1203.75	1194.75	1203.75	0.34%	12.37%	11279.21	<<<	1198.75	X	11279.21
16.04.1998	1202.75	1203.75	1185.75	1189.75	-0.75%	12.37%	11194.24	<<<	1202.75	X	11194.24
17.04.1998	1191.75	1206.75	1180.75	1205.75	-0.42%	12.65%	11147.04	<<<	1191.75	X	11147.04
20.04.1998	1205.75	1207.75	1199.75	1203.75	1.61%	12.74%	11326.41	<<<	1205.75	X	11326.41
21.04.1998	1203.75	1212.75	1200.75	1210.75	0.08%	13.21%	11335.85	<<<	1203.75	X	11335.85
22.04.1998	1209.75	1214.75	1207.75	1211.75	0.58%	13.40%	11401.94	<<<	1209.75	X	11401.94
23.04.1998	1210.75	1210.75	1197.75	1200.75	-0.83%	13.02%	11307.53	<<<	1210.75	X	11307.53
24.04.1998	1200.75	1205.75	1183.75	1187.75	-1.17%	12.56%	11175.36	<<<	1200.75	X	11175.36
27.04.1998	1186.75	1188.75	1155.75	1167.75	-2.37%	10.97%	10911.02	<<<	1186.75	X	10911.02
28.04.1998	1168.75	1178.75	1161.75	1165.75	0.52%	10.04%	10967.67	<<<	1168.75	s	10911.02
29.04.1998	1165.75	1178.75	1162.75	1171.75	0.09%	10.04%	10977.11	<<<	1165.75		10911.02
30.04.1998	1171.75	1198.75	1169.75	1194.75	0.60%	11.90%	11043.19	<<<	1171.75		10911.02
01.05.1998	1193.75	1204.75	1191.75	1203.75	1.88%	12.46%	11250.89	<<<	1193.75		10911.02
04.05.1998	1204.75	1212.75	1200.75	1202.75	0.76%	13.21%	11335.85	<<<	1204.75		10911.02
05.05.1998	1202.75	1203.75	1189.75	1194.75	-0.92%	12.37%	11232.00	<<<	1202.75		10911.02
06.05.1998	1194.75	1199.75	1180.75	1181.75	-0.76%	12.00%	11147.04	<<<	1194.75		10911.02
07.05.1998	1173.75	1185.75	1171.75	1172.75	-0.76%	10.69%	11062.07	<<<	1173.75		10911.02
08.05.1998	1173.75	1191.75	1170.75	1190.75	-0.09%	11.25%	11052.63	<<<	1173.75		10911.02
11.05.1998	1190.75	1199.75	1182.75	1187.75	1.02%	12.00%	11165.92	<<<	1190.75		10911.02
12.05.1998	1186.75	1198.75	1181.75	1197.75	-0.08%	11.90%	11156.48	<<<	1186.75		10911.02
13.05.1998	1196.75	1202.75	1192.75	1198.75	0.93%	12.28%	11260.33	<<<	1196.75		10911.02
14.05.1998	1198.75	1203.75	1190.75	1193.75	-0.17%	12.37%	11241.44	<<<	1198.75		10911.02
15.05.1998	1194.75	1198.75	1184.75	1187.75	-0.50%	11.90%	11184.80	<<<	1194.75		10911.02
18.05.1998	1185.75	1192.75	1175.75	1183.75	-0.76%	11.34%	11099.83	<<<	1185.75		10911.02
19.05.1998	1184.75	1193.75	1182.75	1190.75	0.60%	11.44%	11165.92	<<<	1184.75		10911.02
20.05.1998	1189.75	1199.75	1185.75	1198.75	0.25%	12.00%	11194.24	<<<	1189.75		10911.02
21.05.1998	1199.75	1203.75	1188.75	1192.75	0.25%	12.37%	11222.56	<<<	1199.75		10911.02
22.05.1998	1192.75	1195.75	1185.75	1188.75	-0.25%	11.62%	11194.24	<<<	1192.75		10911.02
26.05.1998	1187.75	1195.75	1166.75	1168.75	-1.60%	11.62%	11014.87	<<<	1187.75		10911.02
27.05.1998	1169.75	1173.75	1149.75	1171.75	-1.46%	9.57%	10854.38	<<<	1169.75		10911.02
28.05.1998	1171.75	1177.75	1165.75	1175.75	1.39%	9.94%	11005.43	<<<	1171.75		10911.02
29.05.1998	1175.75	1182.75	1165.75	1165.75	0.00%	10.41%	11005.43	<<<	1175.75		10911.02
01.06.1998	1169.75	1175.75	1158.75	1169.75	-0.60%	9.75%	10939.34	<<<	1169.75		10911.02
02.06.1998	1169.75	1176.75	1165.75	1170.75	0.60%	9.85%	11005.43	<<<	1169.75		10911.02
03.06.1998	1170.75	1175.75	1152.75	1153.75	-1.12%	9.75%	10882.70	<<<	1170.75		10911.02
04.06.1998	1152.75	1173.75	1151.75	1172.75	-0.09%	9.57%	10873.26	<<<	1152.75		10911.02
05.06.1998	1172.75	1193.75	1169.75	1192.75	1.56%	11.44%	11043.19	<<<	1172.75		10911.02
08.06.1998	1191.75	1196.75	1188.75	1191.75	1.62%	11.72%	11222.56	<<<	1191.75		10911.02
09.06.1998	1191.75	1196.75	1187.75	1194.75	-0.08%	11.72%	11213.12	<<<	1191.75		10911.02
10.06.1998	1194.75	1202.75	1184.75	1188.75	-0.25%	12.28%	11184.80	<<<	1194.75		10911.02
11.06.1998	1187.25	1191.25	1166.25	1166.25	-1.56%	11.20%	11010.15	<<<	1187.25		10911.02
12.06.1998	1167.25	1178.25	1155.25	1176.25	-0.94%	9.99%	10906.30	<<<	1167.25		10911.02
15.06.1998	1148.25	1177.25	1146.25	1149.25	-0.78%	9.89%	10821.34	<<<	1148.25		10911.02
16.06.1998	1148.25	1164.25	1146.25	1163.25	0.00%	8.68%	10821.34	<<<	1148.25		10911.02
17.06.1998	1185.25	1190.25	1184.25	1185.25	3.32%	11.11%	11180.08	<<<	1185.25		10911.02
18.06.1998	1185.25	1190.25	1179.25	1181.25	-0.42%	11.11%	11132.88	<<<	1185.25		10911.02
19.06.1998	1181.25	1187.25	1170.25	1175.25	-0.76%	10.83%	11047.91	<<<	1181.25		10911.02
22.06.1998	1174.25	1185.25	1171.25	1180.25	0.09%	10.64%	11057.35	<<<	1174.25		10911.02
